corpus,skill,score,recommendation,rule_id,severity,confidence,file,line,matched
nautilai,github-issue-auditor/skills/github-issue-auditor,100,DO_NOT_INSTALL,OH1,HIGH,0.95,scripts/executor.py,169,"subprocess.run(cmd, check=True, capture_output"
nautilai,github-issue-auditor/skills/github-issue-auditor,100,DO_NOT_INSTALL,OH1,HIGH,0.95,scripts/executor.py,194,"subprocess.run(cmd, check=True, capture_output"
nautilai,github-issue-auditor/skills/github-issue-auditor,100,DO_NOT_INSTALL,OH1,HIGH,0.95,scripts/executor.py,221,"subprocess.run(cmd, check=True, capture_output"
nautilai,phi-scan/skills/phi-scan,0,SAFE,,,,,,
nautilai,pr-comment-review/skills/pr-comment-review,40,CAUTION,P1,HIGH,0.8,SKILL.md,59,ignore previous instructions
nautilai,pr-comment-review/skills/pr-comment-review,40,CAUTION,YR4,HIGH,0.8,SKILL.md,5,model; model; ignore previous instructions
nautilai,pr-review-deep/skills/pr-review-deep,0,SAFE,,,,,,
nautilai,rbac-django/skills/rbac-audit-django,64,DO_NOT_INSTALL,AST4,MEDIUM,0.7,scripts/rbac_scanner.py,43,"result = subprocess.run( # noqa: S603 cmd, capture_output=True, text=True, cwd=c"
nautilai,rbac-django/skills/rbac-audit-django,64,DO_NOT_INSTALL,LP1,HIGH,0.75,scripts/rbac_scanner.py,1,
nautilai,rbac-django/skills/rbac-audit-django,64,DO_NOT_INSTALL,OH1,HIGH,0.95,scripts/rbac_scanner.py,43,"subprocess.run( # noqa: S603 cmd, capture_output"
nautilai,rbac-django/skills/rbac-remediation-playbooks,10,SAFE,AS3,MEDIUM,0.8,scripts/discover_platform.py,221,skills/rbac-audit-django/SKILL.md
nautilai,rbac-django/skills/rbac-threat-model,20,SAFE,YR4,HIGH,0.8,SKILL.md,138,social-engineer
nautilai,relay/skills/handoff,0,SAFE,,,,,,
nautilai,review-plan/skills/review-plan,0,SAFE,,,,,,
nautilai,wireframe/skills/wireframe,5,SAFE,P2,HIGH,0.21,references/reference.md,152,<!-- WIREFRAME-CATALOG-START --> <!-- WIREFRAME-CATALOG-END --> --- ## Accessibi
